NSSDC COLLECTION	OLD DATASET ID(s)	PROCESS PRIORITY	DATASET CATALOG	PROJECT	MISSION	EXPERIMENT	DATASET SHORTNAME	ORDERED APPLIED ENCODING	OFFLINE MEDIA ENCODING	MACHINE REPRESENTATION	RECORD TYPE	DOCUMENTED MAX BLOCK	DOCUMENTED RESTORATION MODE	FILE TYPE	TAPE LABEL	COMMENT
SOGA-00007	78-051A-05D	3.5	DSC_0498	Pioneer Venus Orbiter	Pioneer Venus Orbiter	Gamma Ray Burst Detector OGBD	OGBD-15 min Avgs of Detector Cnt	TBD	TBD	TBD	TBD	0	TBD	TBD	TBD	
SOGA-00009	78-051A-05A	2.5	DSC_485	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	0	TBD	TBD	TBD	
SORA-00002	90-090B-10B	3	DSC_0822	Ulysses	Ulysses	Coronal Sounding radio science SCE	SCE 10-m Ranging Data Conj. C4	TBD	TBD	TBD	TBD	0	TBD	TBD	TBD	Data in SORA-00002 and SORA-00018
SORA-00003	74-097A-06B	2.5	DSC_469	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	0	TBD	TBD	TBD	
SORA-00004	76-003A-06B	2.5	DSC_469	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	0	TBD	TBD	TBD	
SORA-00018	90-090B-10A	3	DSC_0822	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	0	TBD	TBD	TBD	Data in SORA-00002 and SORA-00018
SOUV-00001	65-093A-01B	6	DSC_0020	SOLRAD	SOLRAD 8	Solar X-Ray and Ultraviolet Monitor	1 Min Avg Values Reformatted	none	none	IBM 7044/7090/7094	variable	1848	none	character	TBD	(DIO-ingest -01B, release -01A, keep -01C&D as docum for -01B)
SOUV-00002	69-068A-01A	6	DSC_0161	OSO	OSO 6	Solar UV Scanning Spectrometer, Spectroheliometer (300 to 1400A)	EUV Raster Scans	none	none	IBM 360/370	variable	6644	none	binary	TBD	(treat -01C,E&F as non-DIOnAS docum files for DIO ds's -01A,B&D)
SOUV-00003	75-057A-01A	3.5	DSC_0513	OSO	OSO 8	High-Resolution Ultraviolet Spectrometer Measurements	Spectroheliogram Data	none	none	TBD	variable	768	none	binary	TBD	
SOUV-00005	69-068A-06B	6	DSC_0221	OSO	OSO 6	Study of Solar Helium I, Helium II, Oxygen, and Nitrogen Radiation	Flux vs Time, Fine Time Res Data	none	none	IBM 360/370	variable	6050	none	binary	TBD	(treat -01C,E&F as non-DIOnAS docum files for DIO ds's -01A,B&D)
SOUV-00006	69-068A-06A	6	DSC_0221	OSO	OSO 6	Study of Solar Helium I, Helium II, Oxygen, and Nitrogen Radiation	Experiment Aspect Data	none	none	IBM 360/370	variable	1638	none	binary	TBD	(treat -01C,E&F as non-DIOnAS docum files for DIO ds's -01A,B&D)
SOUV-00007	71-083A-01A	6	DSC_0794	OSO	OSO 7	X-Ray and EUV Spectroheliograph (2 to 400 A)	Whole 2-400A Data Set	none	none	VAX	variable	140	none	binary	TBD	
SOUV-00010	67-100A-07B	6	DSC_0078	OSO	OSO 4	Solar EUV Spectrometer	300-1400 A Pointed Spectral Scans	none	none	CDC 6000/7000	variable	4896	none	binary	TBD	 
SOUV-00013	75-057A-01I	4.5	DSC_0513	OSO	OSO 8	High-Resolution Ultraviolet Spectrometer Measurements	Data Reduction Programs	none	none	PDP-11	variable	1024	none	character	TBD	
SOUV-00016	69-068A-01C	6	DSC_0161	OSO	OSO 6	Solar UV Scanning Spectrometer, Spectroheliometer (300 to 1400A)	Command Logs	none	none	CDC 6000/7000	variable	1280	none	character	TBD	(treat -01C,E&F as non-DIOnAS docum files for DIO ds\\\\\\'s -01A,B&D)
