NSSDC ID,Priority (6 is high),Data directory location of scanned files,Addl info,"NASA or Goddard Reference , Reading, or other information links",Sandbox Location,Data File Conversion Info,Data Converted Files Location,"Data Schema File, notes, etc",Data Skeleton,PDF Conversion / Transcribed - note if Not Needed,CDF,NASA Data Defender Claimed By,NOTES,Column1,Status,Questions - pls date and add your inits,Answers,Column2
SPIO-00061,6,http://spdf.gsfc.nasa.gov/pub/data/ariel/ariel3/langmuir_probe/plasma-frequency_electron-temperature_thunderstorm-noise,"NMC-Y, DSC-Y",,\DataDefender\NASA\plasma-frequency_electron-temperature_thunderstorm-noise,@tracy                                   ASCII FILES:   /DR002129   /DR002130   /DR002131,"in each subfolder is a folder ""ConvertedFiles""","JS:  uploaded DR002129_f000001.phys.PairedNormalized_v0.4.xls - spreadsheet - on sheet ""DataSchemaDetails"" has a dataschema version based on the original PDF , the Text transcribed PDF and DR002129_fxxx1.phys_ASCII",,https://docs.google.com/document/d/1GioN-8mch3GeruMrqG6qVLklQRDOh1TiARfYwI7BC4k/edit#,,@breqm76,,"In the orig PDF, at the end of  FORMAT C, is the notation ""713"" at the end of the descr.  What is that?   On page 26  orig PDF, there is a handwritten decscrit or record types C, D, T.  need to understand  esp T - Can anyone read this and transcribe?  I can't decipher it:       dr0002129_f0000x.phys ends with  1 - ""00""  2 - "" An          00""",,04/27/2017 - JS,,
SPIO-00263,6,http://spdf.gsfc.nasa.gov/pub/data/ariel/ariel3/vlf-receiver_fixed-frequency/signal_strength ,"NMC-Y, DSC-Y",,\DataDefender\NASA\signal_strength,,,,,https://docs.google.com/document/d/1xisJ2gjbL2L3Oqu4fQOhduUm71N5i3XU9ugAPXPBBw0/edit#,,,,,,,,
SPIO-00048,6,http://spdf.gsfc.nasa.gov/pub/data/ariel/ariel4/langmuir_probe/multi-experiment,"NMC-Y, DSC-Y",,,,,,,https://docs.google.com/document/d/1q2_Z_4y-yvKx-vaptdnh5WKJzxIsi-MYfJRHyasqCAo/edit#,,,,,,,,
SPMS-00544,6,http://spdf.gsfc.nasa.gov/pub/data/ats/ats1/biaxial_fluxgate_magnetometer/15-sec_avg_vect_mag,"NMC-Y, DSC-Y",,,,,,,,,,,,,,,
SPMS-00050,6,http://spdf.gsfc.nasa.gov/pub/data/ats/ats1/electron_spectrometer/6-min_avg_count_rates,"NMC-Y, DSC-Y",,,,,,,,,,,,,,,
SPMS-00497,6,http://spdf.gsfc.nasa.gov/pub/data/ats/ats1/omnidirectional_spectrometer/proton-electron_flux,"NMC-Y, DSC-Y",,,,,,,,,,,,,,,
SPMS-00026,6,http://spdf.gsfc.nasa.gov/pub/data/ats/ats1/omnidirectional_spectrometer/proton-electron_flux_reformatted,"NMC-Y, DSC-Y",,,,,,,,,,,,,,,
SPMS-00211,6,http://spdf.gsfc.nasa.gov/pub/data/ats/ats5/tri-directional_medium-energy_particle_detector/electron_proton_flux,"NMC-Y, DSC-Y",,,,,,,,,,,,,,,
SPMS-00357,6,http://spdf.gsfc.nasa.gov/pub/data/azur/proton_telescope/particle_count_rates,"NMC-Y, DSC-Y",,,,,,,,,,,,,,,
SPMS-00279,6,http://spdf.gsfc.nasa.gov/pub/data/explorer/explorer12/proton-electron_scintillation_detector/reduced_count_rates,"NMC-Y, DSC-N",,,,,,,,,,,,,,,
